ATOM FIELD,N/A,Channel Name,N/A,N/A,N/A,N/A,Service Key,Gracenote ID,Light Logo Key,Dark Logo Key,N/A,Logo Style,Enabled,Content Segment,Section Navigation,Classification,Format Type,Rating,Channel Description,Channel Colour,Privacy Restrictions,Advisory ,Experiment,Experiment Variant,titleArt169,keyArt169,
,1,WNBC,NBC Universal,WNBC,New York,In Progress,9137152191577740117,11705,skychb_9137152191577740117_darknow,skychb_9137152191577740117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,2,KNBC,NBC Universal,KNBC,Los Angeles,In Progress,6285326806430887117,10590,skychb_6285326806430887117_darknow,skychb_6285326806430887117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,3,WMAQ-TV,NBC Universal,WMAQ-TV,Chicago,In Progress,5803264295773409117,11670,skychb_5803264295773409117_darknow,skychb_5803264295773409117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,4,WCAU,NBC Universal,WCAU,Philadelphia,In Progress,7070864115006330117,11326,skychb_7070864115006330117_darknow,skychb_7070864115006330117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,5,KXAS-TV,NBC Universal,KXAS-TV,Dallas-Ft. Worth,In Progress,6207143419709432117,10830,skychb_6207143419709432117_darknow,skychb_6207143419709432117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,6,WXIA-TV,TEGNA INC.,WXIA-TV,Atlanta,In Progress,5401446705201714117,11993,skychb_5401446705201714117_darknow,skychb_5401446705201714117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,7,WRC-TV,NBC Universal,WRC-TV,Washington DC (Hagrstwn),In Progress,5079751747778553117,11811,skychb_5079751747778553117_darknow,skychb_5079751747778553117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,8,KNTV (KICU),NBC Universal,KNTV (KICU),San Francisco/Oakland/ San Jose,In Progress,7736301118256940117,10600,skychb_7736301118256940117_darknow,skychb_7736301118256940117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,9,KPRC-TV,Graham Media Group      ,KPRC-TV,Houston,In Progress,9190651779263468117,10647,skychb_9190651779263468117_darknow,skychb_9190651779263468117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,10,WBTS-LD,NBC Universal,WBTS-LD,"Boston, MA (Manchester)",In Progress,5429335914750893117,91446,skychb_5429335914750893117_darknow,skychb_5429335914750893117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,11,KING-TV,TEGNA INC.,KING-TV,Seattle-Tacoma,In Progress,5912889190413512117,10518,skychb_5912889190413512117_darknow,skychb_5912889190413512117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,12,KPNX | KNAZ-TV (Flagstaff),TEGNA INC.,KPNX | KNAZ-TV (Flagstaff),Phoenix (Prescott),In Progress,7444338281570061117,10645,skychb_7444338281570061117_darknow,skychb_7444338281570061117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,13,WFLA-TV,Nexstar Inc.,WFLA-TV,"Tampa-St. Pete (Sarasota), FL",In Progress,8453801660570823117,11437,skychb_8453801660570823117_darknow,skychb_8453801660570823117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,14,KARE,TEGNA INC.,KARE,Minneapolis-St. Paul,In Progress,6751709690595948117,10328,skychb_6751709690595948117_darknow,skychb_6751709690595948117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,15,WDIV-TV,Graham Media Group      ,WDIV-TV,Detroit,In Progress,8076796986326985117,11387,skychb_8076796986326985117_darknow,skychb_8076796986326985117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,16,KUSA-TV,TEGNA INC.,KUSA-TV,"Denver, CO",In Progress,7595070687073675117,10780,skychb_7595070687073675117_darknow,skychb_7595070687073675117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,17,WESH,"Hearst Television, Inc.",WESH,Orlando-Daytona Beach-Melbourne,In Progress,5259282183447537117,11420,skychb_5259282183447537117_darknow,skychb_5259282183447537117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,18,WTVJ,NBC Universal,WTVJ,Miami-Ft. Lauderdale,In Progress,8991823756668103117,11916,skychb_8991823756668103117_darknow,skychb_8991823756668103117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,19,WKYC-TV,TEGNA INC.,WKYC-TV,Cleveland-Akron (Canton),In Progress,7474968675785297117,20492,skychb_7474968675785297117_darknow,skychb_7474968675785297117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,20,KCRA-TV,"Hearst Television, Inc.",KCRA-TV,Sacramento-Stockton-Modesto,In Progress,6755381953569626117,10388,skychb_6755381953569626117_darknow,skychb_6755381953569626117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,21,KGW,TEGNA INC.,KGW,"Portland, OR",In Progress,8302976068203989117,10483,skychb_8302976068203989117_darknow,skychb_8302976068203989117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,22,WCNC-TV,TEGNA INC.,WCNC-TV,"Charlotte, NC",In Progress,5469165937496566117,11358,skychb_5469165937496566117_darknow,skychb_5469165937496566117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,23,KSDK,TEGNA INC.,KSDK,"St. Louis, MO",In Progress,6194870283913204117,10685,skychb_6194870283913204117_darknow,skychb_6194870283913204117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,24,WRAL-TV,"Capitol Broadcasting Company, Inc.",WRAL-TV,"Raleigh-Durham-Fayetteville, NC",In Progress,6666349370285592117,11809,skychb_6666349370285592117_darknow,skychb_6666349370285592117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,25,WTHR-TV,TEGNA INC.,WTHR-TV,"Indianapolis, IN",In Progress,4860891476281643117,11877,skychb_4860891476281643117_darknow,skychb_4860891476281643117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,26,WPXI-TV,Cox Media Group,WPXI-TV,"Pittsburgh, PA",In Progress,8989191913608556117,12125,skychb_8989191913608556117_darknow,skychb_8989191913608556117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,27,WBAL-TV,"Hearst Television, Inc.",WBAL-TV,Baltimore,In Progress,6054379987521890117,11296,skychb_6054379987521890117_darknow,skychb_6054379987521890117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,28,KNSD,NBC Universal,KNSD,San Diego,In Progress,7192421522768637117,10599,skychb_7192421522768637117_darknow,skychb_7192421522768637117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,29,KSL-TV,Bonneville Int'l Corp.,KSL-TV,"Salt Lake City, UT",In Progress,8931313723297060117,10691,skychb_8931313723297060117_darknow,skychb_8931313723297060117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,30,WSMV-TV,"Gray Media Group, Inc.",WSMV-TV,"Nashville, TN",In Progress,7475805405597191117,11847,skychb_7475805405597191117_darknow,skychb_7475805405597191117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,31,WOAI-TV,"Sinclair Television Group, Inc.",WOAI-TV,"San Antonio, TX",In Progress,7210737021939503117,30606,skychb_7210737021939503117_darknow,skychb_7210737021939503117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,32,KSHB-TV,E.W. Scripps Company ,KSHB-TV,"Kansas City, MO/KS",In Progress,7047755215998375117,10689,skychb_7047755215998375117_darknow,skychb_7047755215998375117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,33,WCMH-TV,Nexstar Inc.,WCMH-TV,"Columbus, OH",In Progress,7160455668876066117,11354,skychb_7160455668876066117_darknow,skychb_7160455668876066117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,34,WVIT,NBC Universal,WVIT,Hartford-New Haven,In Progress,6656160755190343117,11964,skychb_6656160755190343117_darknow,skychb_6656160755190343117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,35,WLWT,"Hearst Television, Inc.",WLWT,Cincinnati,In Progress,5566233252361580117,11661,skychb_5566233252361580117_darknow,skychb_5566233252361580117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,36,WTMJ-TV,E.W. Scripps Company ,WTMJ-TV,"Milwaukee, WI",In Progress,5215642915741551117,11890,skychb_5215642915741551117_darknow,skychb_5215642915741551117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,37,KXAN,Nexstar Inc.,KXAN,"Austin, TX",In Progress,7738283235090327117,10829,skychb_7738283235090327117_darknow,skychb_7738283235090327117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,38,WYFF,"Hearst Television, Inc.",WYFF,Greenvll-Spart-Ashevll-And,In Progress,7817099584379230117,12012,skychb_7817099584379230117_darknow,skychb_7817099584379230117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,39,WPTV,E.W. Scripps Company ,WPTV,"West Palm Beach-Ft. Pierce, FL",In Progress,8506042829937512117,11791,skychb_8506042829937512117_darknow,skychb_8506042829937512117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,40,KSNV-DT,"Sinclair Television Group, Inc.",KSNV-DT,"Las Vegas, NV",In Progress,6239279264631120117,10790,skychb_6239279264631120117_darknow,skychb_6239279264631120117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,41,WOOD-TV,Nexstar Inc.,WOOD-TV,"Grand Rapids-Kalamazoo-Battle Creek, MI",In Progress,7233244891214616117,11758,skychb_7233244891214616117_darknow,skychb_7233244891214616117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,42,WGAL,"Hearst Television, Inc.",WGAL,Harrisburg-Lancaster-Leb-York,In Progress,6138930870670933117,11458,skychb_6138930870670933117_darknow,skychb_6138930870670933117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,43,WTLV,TEGNA INC.,WTLV,"Jacksonville, FL",In Progress,5085595711645025117,11888,skychb_5085595711645025117_darknow,skychb_5085595711645025117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,44,KFOR-TV,Nexstar Inc.,KFOR-TV,Oklahoma City,In Progress,8124040456083464117,10462,skychb_8124040456083464117_darknow,skychb_8124040456083464117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,45,WVTM-TV,"Hearst Television, Inc.",WVTM-TV,Birmingham (Ann and Tusc),In Progress,5386701872295698117,11971,skychb_5386701872295698117_darknow,skychb_5386701872295698117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,46,WAVY-TV,Nexstar Inc.,WAVY-TV,"Norfolk-Portsmouth-Newport News, VA",In Progress,4999943594700558117,11292,skychb_4999943594700558117_darknow,skychb_4999943594700558117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,47,WXII,"Hearst Television, Inc.",WXII,Greensboro-H.Point-W.Salem,In Progress,5997711749958399117,11994,skychb_5997711749958399117_darknow,skychb_5997711749958399117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,48,WAVE,"Gray Media Group, Inc.",WAVE,"Louisville, KY",In Progress,8714868509976045117,11291,skychb_8714868509976045117_darknow,skychb_8714868509976045117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,49,KOB,Hubbard Broadcasting Inc.,KOB,Albuquerque-Santa Fe,In Progress,8206415673737137117,10609,skychb_8206415673737137117_darknow,skychb_8206415673737137117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,50,WDSU,"Hearst Television, Inc.",WDSU,New Orleans,In Progress,7867793795430570117,11395,skychb_7867793795430570117_darknow,skychb_7867793795430570117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,51,WJAR,"Sinclair Television Group, Inc.",WJAR,"Providence-New Bedford, RI",In Progress,8614817601462142117,11567,skychb_8614817601462142117_darknow,skychb_8614817601462142117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,52,WGRZ-TV,TEGNA INC.,WGRZ-TV,"Buffalo, NY",In Progress,7517858593666600117,11484,skychb_7517858593666600117_darknow,skychb_7517858593666600117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,53,WMC-TV,"Gray Media Group, Inc.",WMC-TV,"Memphis, TN",In Progress,4689660169436116117,11678,skychb_4689660169436116117_darknow,skychb_4689660169436116117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,54,WBBH-TV,Waterman Broadcasting Corp.,WBBH-TV,Ft. Myers-Naples,In Progress,6034065111612307117,11298,skychb_6034065111612307117_darknow,skychb_6034065111612307117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,55,KSEE,Nexstar Inc.,KSEE,Fresno-Visalia,In Progress,6605928329691087117,10686,skychb_6605928329691087117_darknow,skychb_6605928329691087117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,56,WWBT,"Gray Media Group, Inc.",WWBT,"Richmond-Petersburg, VA",In Progress,5549168744869640117,11978,skychb_5549168744869640117_darknow,skychb_5549168744869640117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,57,WPMI-TV,"Deerfield Media (Mobile), LLC",WPMI-TV,"Mobile, AL-Pensacola, FL",In Progress,4811939207145178117,11781,skychb_4811939207145178117_darknow,skychb_4811939207145178117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,58,WBRE-TV,Nexstar Inc.,WBRE-TV,Wilkes Barre-Scranton-Hztn,In Progress,7035488214976856117,11317,skychb_7035488214976856117_darknow,skychb_7035488214976856117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,59,WNYT,Hubbard Broadcasting Inc.,WNYT,Albany-Schenectady-Troy,In Progress,7575700122146562117,11745,skychb_7575700122146562117_darknow,skychb_7575700122146562117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,60,KARK-TV,Nexstar Inc.,KARK-TV,Little Rock-Pine Bluff,In Progress,5115173261563607117,10330,skychb_5115173261563607117_darknow,skychb_5115173261563607117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,61,KJRH,E.W. Scripps Company ,KJRH,"Tulsa, OK",In Progress,6459536559641934117,10531,skychb_6459536559641934117_darknow,skychb_6459536559641934117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,62,WBIR-TV,TEGNA INC.,WBIR-TV,"Knoxville, TN",In Progress,5519816441241812117,11305,skychb_5519816441241812117_darknow,skychb_5519816441241812117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,63,WLEX-TV,E.W. Scripps Company ,WLEX-TV,"Lexington, KY",In Progress,4717059789175908117,11638,skychb_4717059789175908117_darknow,skychb_4717059789175908117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,64,WDTN,Nexstar Inc.,WDTN,"Dayton, OH",In Progress,6523359251770606117,11396,skychb_6523359251770606117_darknow,skychb_6523359251770606117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,65,KHNL,"Gray Media Group, Inc.",KHNL,"Honolulu, HI",In Progress,5530283236539858117,10494,skychb_5530283236539858117_darknow,skychb_5530283236539858117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,66,KHQ-TV,Cowles Company,KHQ-TV,"Spokane, WA",In Progress,7979774648485807117,10497,skychb_7979774648485807117_darknow,skychb_7979774648485807117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,67,WHO-TV,Nexstar Inc.,WHO-TV,Des Moines-Ames,In Progress,5782461587668615117,11520,skychb_5782461587668615117_darknow,skychb_5782461587668615117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,68,WGBA-TV,E.W. Scripps Company ,WGBA-TV,"Green Bay-Appleton, WI",In Progress,7061664281808557117,30513,skychb_7061664281808557117_darknow,skychb_7061664281808557117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,69,KVOA,Allen Media Broadcasting LLC ,KVOA,"Tucson-Sierra Vista, AZ",In Progress,7430549128715587117,10804,skychb_7430549128715587117_darknow,skychb_7430549128715587117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,70,KSNW,Nexstar Inc.,KSNW,"Wichita-Hutchinson, KS",In Progress,7426363460614919117,10698,skychb_7426363460614919117_darknow,skychb_7426363460614919117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,71,WSLS-TV,Graham Media Group      ,WSLS-TV,"Roanoke-Lynchburg, VA",In Progress,7938908535665209117,11845,skychb_7938908535665209117_darknow,skychb_7938908535665209117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,72,WOWT-TV,"Gray Media Group, Inc.",WOWT-TV,"Omaha, NE",In Progress,5953021974570224117,11767,skychb_5953021974570224117_darknow,skychb_5953021974570224117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,73,WEYI-TV,"Howard Stirk Holdings, LLC",WEYI-TV,"Flint-Saginaw-Bay City, MI",In Progress,8035329147746407117,11429,skychb_8035329147746407117_darknow,skychb_8035329147746407117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,74,KYTV,"Gray Media Group, Inc.",KYTV,"Springfield, MO",In Progress,7421663726395112117,15343,skychb_7421663726395112117_darknow,skychb_7421663726395112117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,75,WHEC-TV,Hubbard Broadcasting Inc.,WHEC-TV,"Rochester, NY",In Progress,7001396868364750117,11503,skychb_7001396868364750117_darknow,skychb_7001396868364750117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,76,WAFF,"Gray Media Group, Inc.",WAFF,"Huntsville-Decatur (Flor), AL",In Progress,6346536965415528117,11268,skychb_6346536965415528117_darknow,skychb_6346536965415528117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,77,WSAZ-TV,"Gray Media Group, Inc.",WSAZ-TV,"Charleston-Huntington, WV",In Progress,6880418036342717117,11828,skychb_6880418036342717117_darknow,skychb_6880418036342717117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,78,WCSH,TEGNA INC.,WCSH,"Portland-Auburn, ME",In Progress,7811740501149471117,11366,skychb_7811740501149471117_darknow,skychb_7811740501149471117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,79,WIS,"Gray Media Group, Inc.",WIS,"Columbia, SC",In Progress,8452411843477422117,11555,skychb_8452411843477422117_darknow,skychb_8452411843477422117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,80,WMTV,"Gray Media Group, Inc.",WMTV,"Madison, WI",In Progress,7733124181249184117,11698,skychb_7733124181249184117_darknow,skychb_7733124181249184117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,81,WNWO-TV,"Sinclair Television Group, Inc.",WNWO-TV,"Toledo, OH",In Progress,4788601273577259117,11741,skychb_4788601273577259117_darknow,skychb_4788601273577259117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,82,KAGS-TV,TEGNA INC.,KAGS-TV,WACO-TEMPLE-BRYAN,In Progress,5078848183253631117,32555,skychb_5078848183253631117_darknow,skychb_5078848183253631117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,82,KCEN-TV,TEGNA INC.,KCEN-TV,WACO-TEMPLE-BRYAN,In Progress,4690087021935355117,10372,skychb_4690087021935355117_darknow,skychb_4690087021935355117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,83,WSTM-TV,"Sinclair Television Group, Inc.",WSTM-TV,"Syracuse, NY",In Progress,5312097087863196117,11855,skychb_5312097087863196117_darknow,skychb_5312097087863196117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,84,KOAA-TV,E.W. Scripps Company ,KOAA-TV,"Colorado Springs-Pueblo, CO",In Progress,8886644741629974117,10603,skychb_8886644741629974117_darknow,skychb_8886644741629974117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,85,WRCB-TV,"Sarkes Tarzian, Inc.",WRCB-TV,"Chattanooga, TN",In Progress,6580216714414287117,11812,skychb_6580216714414287117_darknow,skychb_6580216714414287117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,86,KTAL-TV,Nexstar Inc.,KTAL-TV,Shreveport,In Progress,7226356991568729117,10708,skychb_7226356991568729117_darknow,skychb_7226356991568729117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,87,WPSD-TV,"Paxton Media Group, LLC",WPSD-TV,Paducah-Cape Girard-Harsbg,In Progress,4935915786964072117,11785,skychb_4935915786964072117_darknow,skychb_4935915786964072117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,88,KVEO,Nexstar Inc.,KVEO,"Harlingen-Wslco-Brnsvl-McA, TX",In Progress,8717751774645776117,10796,skychb_8717751774645776117_darknow,skychb_8717751774645776117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,89,WAND-TV,Block Communications Inc.,WAND-TV,"Springfield-Decatur-Champaign, IL",In Progress,6045491109801556117,11278,skychb_6045491109801556117_darknow,skychb_6045491109801556117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,90,WSAV-TV,Nexstar Inc.,WSAV-TV,"Savannah, GA",In Progress,7299218064741165117,11826,skychb_7299218064741165117_darknow,skychb_7299218064741165117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,91,WCBD-TV,Nexstar Inc.,WCBD-TV,"Charleston, SC",In Progress,6161832762039727117,96041,skychb_6161832762039727117_darknow,skychb_6161832762039727117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,92,KWWL,Allen Media Broadcasting LLC ,KWWL,Cedar Rapids-Wtrlo-IWC&Dub,In Progress,8615694682618232117,10828,skychb_8615694682618232117_darknow,skychb_8615694682618232117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,93,KTSM-TV,Nexstar Inc.,KTSM-TV,"El Paso-Las Cruces, TX",In Progress,7490834884011872117,10737,skychb_7490834884011872117_darknow,skychb_7490834884011872117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,94,WVLA-TV,Knight Broadcasting of Baton Rouge License Corp.,WVLA-TV,"Baton Rouge, LA",In Progress,5318052240475219117,11966,skychb_5318052240475219117_darknow,skychb_5318052240475219117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,95,WPTZ,"Hearst Television, Inc.",WPTZ,Burlington-Plattsburgh,In Progress,5705326837618311117,11793,skychb_5705326837618311117_darknow,skychb_5705326837618311117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,96,KNWA-TV,Nexstar Inc.,KNWA-TV,Ft. Smith-Fay-Sprngdl-Rgrs,In Progress,8814122833816951117,52408,skychb_8814122833816951117_darknow,skychb_8814122833816951117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,97,WLBT,"Gray Media Group, Inc.",WLBT,"Jackson, MS",In Progress,7275480699647352117,11634,skychb_7275480699647352117_darknow,skychb_7275480699647352117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,98,KTVB,TEGNA INC.,KTVB,"Boise, ID",In Progress,6288802512849424117,10747,skychb_6288802512849424117_darknow,skychb_6288802512849424117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,99,WNDU-TV,"Gray Media Group, Inc.",WNDU-TV,"South Bend-Elkhart, IN",In Progress,5389265108330585117,11708,skychb_5389265108330585117_darknow,skychb_5389265108330585117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,100,WCYB-TV,"Sinclair Television Group, Inc.",WCYB-TV,"Tri-Cities, TN- VA",In Progress,6687046933411524117,11373,skychb_6687046933411524117_darknow,skychb_6687046933411524117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,101,WMBF-TV,"Gray Media Group, Inc.",WMBF-TV,"Myrtle Beach-Florence, SC",In Progress,8193963274474351117,59517,skychb_8193963274474351117_darknow,skychb_8193963274474351117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,102,WITN-TV,"Gray Media Group, Inc.",WITN-TV,"Greenville-N.Bern-Washngtn, NC",In Progress,8921873663826416117,11561,skychb_8921873663826416117_darknow,skychb_8921873663826416117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,103,KWQC-TV,"Gray Media Group, Inc.",KWQC-TV,"Davenport-R.Island-Moline, IA/IL",In Progress,6475653958431419117,10823,skychb_6475653958431419117_darknow,skychb_6475653958431419117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,104,KSNB,"Gray Media Group, Inc.",KSNB,"Hastings-Lincoln-Kearny, NE",In Progress,5673315933366320117,10695,skychb_5673315933366320117_darknow,skychb_5673315933366320117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,105,KRNV,Cunningham Broadcasting Corp,KRNV,"Reno, NV",In Progress,7581048766777881117,10671,skychb_7581048766777881117_darknow,skychb_7581048766777881117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,106,WFIE,"Gray Media Group, Inc.",WFIE,"Evansville, IN",In Progress,5927838286580965117,49161,skychb_5927838286580965117_darknow,skychb_5927838286580965117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,107,WTWC-TV,"Sinclair Television Group, Inc.",WTWC-TV,"Tallahassee, FL-Thomasville, GA",In Progress,5605298171143887117,11927,skychb_5605298171143887117_darknow,skychb_5605298171143887117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,108,WJAC-TV,"Sinclair Television Group, Inc.",WJAC-TV,"Johnstown-Altoona, PA",In Progress,7425328042981355117,11565,skychb_7425328042981355117_darknow,skychb_7425328042981355117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
,108.5,_Fallback,N/A,PKNBCL,Fallback,In Progress,6337006762137813117,N/A,skychb_6337006762137813117_darknow,skychb_6337006762137813117_lightnow,,,,LOCAL_AFFILIATES,NEWS,News,,,,,,,,,,,
